,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
1995-06-12,,631.0,,,,,,,,,,,,57.0,,650.0,,,,,790.0,586.0,2335.0,,241.0,,,,,,263.0,327.0,,,335.0,,,,,,197.5,273.0,,568.0,233.5,,138.0,,,
2009-02-04,368.65,772.85,394.75,454.7,57.2,153.35,387.95,633.7,1369.35,195.1,,854.0,436.55,237.3,204.7,1285.95,122.15,896.4,,877.5,44.3,267.75,1442.45,389.6,180.95,439.75,32.55,1282.95,199.2,271.35,653.65,282.85,602.0,176.7,1469.85,665.55,85.7,,,517.9,1096.9,1046.65,499.05,135.25,179.15,230.7,803.85,,411.25,223.95
2005-06-15,,394.2,232.0,,252.55,,369.35,239.75,902.1,287.85,,1091.65,737.4,319.6,221.05,1118.3,379.55,591.3,,547.55,1134.0,149.2,816.3,432.55,1564.25,450.05,71.65,2258.05,284.8,384.95,1142.1,551.05,437.35,83.8,710.15,936.3,,,,342.1,689.0,564.25,1271.9,421.8,339.6,,365.85,,328.0,734.7
2016-07-19,220.3,1027.15,564.0,2750.25,8651.4,2496.7,572.05,364.3,2762.3,505.7,318.95,1156.1,3581.35,19696.0,385.3,4769.5,730.45,1218.05,,3229.4,137.85,895.15,1338.4,269.15,248.5,493.35,1107.05,1086.3,1623.25,777.5,1573.25,1454.8,4486.4,156.1,6634.7,221.15,166.45,,,16195.5,229.7,782.2,2461.55,498.15,370.25,506.45,412.9,,3505.9,549.4
2016-11-23,263.5,942.5,480.45,2595.75,848.45,2926.35,634.15,300.35,2963.1,552.2,303.8,1176.95,3127.75,20910.55,412.3,810.4,762.75,1184.9,,3012.85,173.5,830.5,1225.95,265.0,224.55,297.8,1064.45,920.5,1650.75,764.15,1357.85,1193.25,4881.55,159.95,5962.8,279.4,181.85,,,14945.75,258.75,701.05,2156.7,471.4,392.35,451.6,312.45,,3451.3,448.15
2000-07-26,,445.5,40.0,,34.0,,,,673.7,711.1,,,1105.1,32.2,55.5,239.35,1042.0,244.6,,1000.15,800.45,240.1,500.4,200.05,731.7,159.3,18.1,6608.25,6.1,62.2,188.2,183.2,,,498.3,139.55,,,,25.0,194.0,603.95,,103.55,115.8,,66.85,,,2415.9
1998-01-06,,301.0,,,31.0,,430.0,,405.0,637.5,,,333.5,13.5,128.0,342.25,,78.75,,912.75,779.75,1410.0,3118.0,43.25,619.0,725.0,,1283.25,5.6,29.5,208.0,323.5,,,288.0,275.5,,,,17.75,248.5,244.0,,294.75,141.0,,67.25,,,489.5
1998-07-24,,279.9,,,,,,,632.0,797.0,,,484.5,,85.15,242.9,,62.0,,901.75,617.25,1644.75,2699.5,36.05,639.0,450.25,28.15,2469.5,4.15,22.55,209.0,168.2,,,417.0,170.2,,,,,202.0,295.5,,126.2,104.7,,38.05,,,1720.25
2008-11-03,357.8,949.15,602.3,498.3,71.9,122.7,,687.65,1177.3,175.75,,1224.0,403.3,236.85,222.55,1101.2,174.45,1070.8,,725.4,63.5,237.8,1891.65,430.95,158.6,351.3,42.4,1378.5,312.0,369.8,892.25,384.05,601.8,151.2,1449.7,710.7,72.05,,,418.3,1240.55,1106.25,548.7,190.9,225.25,336.75,991.05,,354.9,276.25
2016-12-09,285.75,941.65,456.3,2719.55,895.45,3000.55,635.25,331.0,3036.25,579.3,307.2,1160.65,3186.45,22849.0,429.05,878.7,801.25,1198.1,,3281.15,181.55,844.8,1267.1,268.35,235.8,302.7,1111.9,987.35,1646.4,745.15,1361.45,1189.1,5235.8,164.1,6369.45,306.9,184.55,,,15204.75,266.0,673.0,2193.45,464.05,430.3,472.15,326.55,,3576.1,458.7
2000-08-04,,275.45,37.3,,33.5,,,,679.5,717.9,,,1148.4,27.65,50.4,279.1,946.65,251.25,,943.1,826.8,245.2,506.45,206.5,764.15,137.1,17.2,6288.0,6.5,69.3,208.2,168.9,,,491.9,125.0,,,,26.0,202.5,597.1,,92.65,113.25,,50.45,,,2278.5
1992-02-17,,340.0,,,,,,,,,,,,,,370.0,,,,,390.0,245.0,1350.0,,,,,,,,195.0,100.0,,,285.0,,,,,,,,,345.0,312.0,,,,,350.0
2002-01-29,,274.55,29.7,,39.85,,,,587.5,1110.1,,,949.85,33.4,67.85,279.95,230.25,226.35,,302.2,700.0,221.4,633.55,88.8,704.35,135.2,10.35,3767.15,2.05,67.05,192.55,113.25,,,500.0,143.2,,,,44.35,210.05,627.0,,119.3,95.6,,35.5,,,1558.8
1996-09-23,,356.5,,,50.25,,,,218.0,401.75,,,251.0,36.0,,418.25,,36.5,,250.0,699.5,825.25,2395.25,,294.0,,,665.75,6.3,84.5,241.0,328.25,,,241.0,230.0,,,,28.75,261.25,250.0,,462.5,171.75,,117.75,,,
1999-08-30,,415.0,18.6,,35.2,,,,1525.0,2794.75,,,1234.0,39.25,79.9,445.25,,90.0,,1396.0,897.0,2690.0,263.95,35.0,1032.0,439.8,34.9,5588.9,7.9,38.8,399.0,406.0,,,641.95,230.1,,,,64.7,244.3,747.2,,316.25,171.1,,92.15,,,5397.1
2010-03-04,714.35,1963.7,1121.65,1894.1,319.85,339.55,534.95,293.1,1740.75,318.6,,649.9,1156.4,652.95,400.1,2789.65,362.4,1781.45,,1794.9,169.25,242.15,2587.7,897.95,245.6,305.05,159.55,2623.4,1159.9,772.95,1585.45,1075.85,1459.5,206.95,2631.0,1095.25,108.8,,,2218.3,2032.65,1581.35,761.55,811.65,617.45,918.35,1865.65,,1092.0,693.45
2019-10-10,399.95,1778.45,672.9,2888.0,3948.45,8201.45,489.8,377.4,3037.45,422.25,184.5,1668.9,2633.45,18060.05,127.4,696.15,1063.65,1199.95,,2601.95,182.35,1967.5,1987.75,423.7,242.95,148.1,1228.95,782.9,213.8,1585.85,1425.35,566.55,6610.15,117.1,13839.85,125.4,199.15,,,18291.05,254.05,386.95,2004.4,116.9,329.7,710.85,1235.0,,3980.55,239.15
