,Company Name,Industry,Symbol,Series,ISIN Code,BSE_CODES
0,ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,EQ,INE07Y701011,543187
1,APL Apollo Tubes Ltd.,METALS,APLAPOLLO,EQ,INE702C01027,533758
2,Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016,524348
3,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020,540025
4,Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,EQ,INE208C01025,500003
5,Affle (India) Ltd.,IT,AFFLE,EQ,INE00WC01019,542752
6,Alembic Ltd.,PHARMA,ALEMBICLTD,EQ,INE426A01027,506235
7,Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,EQ,INE150B01021,506767
8,Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029,521070
9,Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015,540902
10,Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029,533271
11,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019,540975
12,Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038,512573
13,BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013,500042
14,BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016,500048
15,BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025,INE118H01025
16,Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021,533229
17,Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025,500031
18,Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,EQ,INE164A01016,523319
19,Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028,500038
20,Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014,532525
21,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018,541143
22,Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,EQ,INE838B01013,590021
23,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012,500335
24,Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035,532400
25,Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022,506197
26,Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017,526612
27,Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039,500067
28,Bombay Dyeing & Manufacturing Co. Ltd.,CONSTRUCTION,BOMDYEING,EQ,INE032A01023,500020
29,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019,532929
30,CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013,534804
31,CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022,519600
32,CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,EQ,INE679A01013,542867
33,Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020,511196
34,Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026,524742
35,Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,EQ,INE180C01026,531595
36,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034,513375
37,Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020,500878
38,Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010,532885
39,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011,INE736A01011
40,Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021,532548
41,Century Textile & Industries Ltd.,PAPER,CENTURYTEX,EQ,INE055A01016,500040
42,Cera Sanitaryware Ltd,CONSTRUCTION,CERA,EQ,INE739E01017,532443
43,Chalet Hotels Ltd.,SERVICES,CHALET,EQ,INE427F01016,542399
44,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013,500085
45,Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,EQ,INE178A01016,500110
46,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017,540678
47,Cyient Ltd.,IT,CYIENT,EQ,INE136B01020,532175
48,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,EQ,INE950I01011,533151
49,DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015,532772
50,DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024,523367
51,Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,EQ,INE288B01029,506401
52,Delta Corp Ltd.,SERVICES,DELTACORP,EQ,INE124G01033,532848
53,Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025,507717
54,Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012,540047
55,Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,EQ,INE836F01026,532839
56,Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,EQ,INE385W01011,540701
57,Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,EQ,INE935N01012,540699
58,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,EQ,INE126A01031,500125
59,EIH Ltd.,SERVICES,EIHOTEL,EQ,INE230A01023,500840
60,EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL,EQ,INE255A01020,500135
61,ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,EQ,INE284A01012,500133
62,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027,522074
63,Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028,532178
64,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017,539844
65,FDC Ltd.,PHARMA,FDC,EQ,INE258B01022,531599
66,Fine Organic Industries Ltd.,CHEMICALS,FINEORG,EQ,INE686Y01026,541557
67,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022,500144
68,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01016,500940
69,Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012,532809
70,Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025,533400
71,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011,532309
