,"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Jan-2024"
0,NIFTY100 EQUAL WEIGHT,"30,395.20","30,485.45","29,994.45","30,381.50","30,056.35",-,-325.15,-1.07,"52,89,66,338","34,493.22",-,-,-4.02,11.43
1,HINDUNILVR,"2,332.85","2,380.80","2,323.00","2,321.70","2,380.10",-,58.4,2.52,"16,88,664",398.35,"3,035.00","2,172.05",1.39,-2.48
2,BRITANNIA,"5,037.70","5,108.00","5,013.15","5,012.60","5,100.00",-,87.4,1.74,"5,09,954",258.96,"6,469.90","4,641.00",7.53,-0.78
3,LODHA,"1,077.00","1,109.00","1,076.00","1,082.30","1,100.00",-,17.7,1.64,"25,66,066",281.53,"1,649.95",977.35,-21.63,4.12
4,EICHERMOT,"5,134.00","5,224.50","5,115.05","5,116.20","5,190.25",-,74.05,1.45,"7,30,641",378.67,"5,385.70","3,562.45",8.63,43.96
5,GRASIM,"2,466.35","2,514.05","2,453.45","2,461.15","2,495.00",-,33.85,1.38,"15,10,105",375.85,"2,877.75","2,016.55",-0.44,19.95
6,ICICIBANK,"1,203.10","1,218.00","1,202.00","1,201.75","1,213.70",-,11.95,0.99,"92,16,792","1,114.48","1,362.35",985.25,-6.79,19.73
7,TATACONSUM,988.75,"1,004.00",986.40,983.90,992.80,-,8.9,0.9,"22,01,712",219.17,"1,256.44",882.90,9.37,-12.70
8,BAJAJHLDNG,"11,160.05","11,310.00","11,101.40","11,198.30","11,290.00",-,91.7,0.82,"28,427",32.03,"13,238.00","7,659.95",2.19,37.77
9,WIPRO,319.00,322.50,316.60,317.70,319.95,-,2.25,0.71,"1,74,79,586",559.19,324.60,208.50,4.85,-31.89
10,INDIGO,"4,162.10","4,269.80","4,126.05","4,134.80","4,162.25",-,27.45,0.66,"14,81,820",621.17,"5,035.00","2,847.00",-9.77,45.36
11,TECHM,"1,719.00","1,736.40","1,705.35","1,713.40","1,724.00",-,10.6,0.62,"12,57,165",216.63,"1,807.70","1,162.95",1.06,30.33
12,POWERGRID,295.30,302.50,294.35,294.35,296.00,-,1.65,0.56,"1,11,42,914",333.05,366.25,235.00,-4.6,20.51
13,INFY,"1,865.50","1,894.90","1,864.25","1,865.45","1,875.00",-,9.55,0.51,"48,87,027",919.52,"2,006.45","1,358.35",-1.76,12.36
14,NESTLEIND,"2,202.00","2,222.75","2,190.10","2,198.95","2,209.90",-,10.95,0.5,"6,63,600",146.74,"2,778.00","2,145.40",1.9,-11.05
15,BHARTIARTL,"1,634.05","1,661.90","1,634.05","1,636.00","1,641.45",-,5.45,0.33,"36,20,058",596.16,"1,779.00","1,097.65",3.84,41.73
16,ITC,439.40,445.00,439.05,440.20,441.40,-,1.2,0.27,"96,65,384",427.72,528.50,399.35,-7.7,-3.08
17,VBL,539.00,548.70,536.90,540.40,541.60,-,1.2,0.22,"30,64,139",165.99,681.12,488.40,-13.65,-56.92
18,JSWSTEEL,930.00,953.00,925.15,929.90,931.95,-,2.05,0.22,"35,38,998",332.71,"1,063.00",761.75,1.15,14.31
19,AMBUJACEM,551.90,561.90,547.00,548.80,550.00,-,1.2,0.22,"38,59,868",214.68,706.95,453.05,1.6,-1.49
20,TCS,"4,104.00","4,178.00","4,104.00","4,145.45","4,153.10",-,7.65,0.18,"19,10,099",793.76,"4,592.25","3,591.50",-0.65,8.98
21,NTPC,324.80,329.90,322.10,323.65,324.00,-,0.35,0.11,"74,92,600",243.87,448.45,296.85,-3.47,2.83
22,BAJAJ-AUTO,"8,414.40","8,489.95","8,360.00","8,399.95","8,409.00",-,9.05,0.11,"2,32,317",196.03,"12,774.00","7,028.20",-4.29,10.58
23,TATASTEEL,130.50,133.20,129.31,130.37,130.50,-,0.13,0.1,"3,70,92,106",485.94,184.60,122.62,-7.58,-3.00
24,TATAPOWER,362.75,370.70,362.20,362.75,363.00,-,0.25,0.07,"79,66,520",291.85,494.85,338.40,-9.01,-0.47
25,HDFCLIFE,620.55,625.00,613.30,621.00,621.30,-,0.3,0.05,"17,93,560",111.34,761.20,511.40,-0.22,7.27
26,TITAN,"3,407.00","3,447.65","3,380.45","3,398.55","3,398.00",-,-0.55,-0.02,"5,64,244",192.20,"3,886.95","3,055.65",1.45,-9.76
27,HINDALCO,608.70,615.35,599.90,608.25,607.60,-,-0.65,-0.11,"46,08,870",280.23,772.65,496.35,-3.28,7.00
28,BAJFINANCE,"7,443.25","7,505.00","7,338.30","7,443.25","7,430.00",-,-13.25,-0.18,"6,79,687",506.11,"7,824.00","6,187.80",9.26,4.98
29,SBIN,749.90,753.70,739.00,745.90,744.50,-,-1.4,-0.19,"1,05,79,213",789.54,912.00,603.10,-8.36,21.44
30,AXISBANK,948.00,961.80,946.10,951.05,948.55,-,-2.5,-0.26,"1,44,21,921","1,376.02","1,339.65",946.10,-12.09,-8.99
31,DABUR,524.65,527.00,518.60,524.60,522.35,-,-2.25,-0.43,"10,31,251",53.89,672.00,489.20,2.29,-1.87
32,LTIM,"6,023.60","6,047.95","5,961.60","6,002.05","5,975.00",-,-27.05,-0.45,"2,19,285",131.77,"6,767.95","4,513.55",4.76,9.16
33,TORNTPHARM,"3,270.75","3,283.85","3,210.00","3,263.75","3,248.90",-,-14.85,-0.45,"3,91,085",126.81,"3,590.70","2,414.00",-4.44,31.33
34,COALINDIA,386.05,392.25,381.70,385.80,384.00,-,-1.8,-0.47,"53,51,964",206.47,543.55,361.25,-0.38,-1.63
35,DMART,"3,598.00","3,608.50","3,535.00","3,598.35","3,581.35",-,-17.0,-0.47,"2,88,983",103.33,"5,484.85","3,399.00",3.48,-4.13
36,IRFC,141.60,143.18,139.00,141.37,140.68,-,-0.69,-0.49,"1,58,43,304",222.88,229.00,116.65,-4.86,-19.08
37,ASIANPAINT,"2,283.00","2,296.55","2,255.05","2,276.35","2,263.50",-,-12.85,-0.56,"5,43,217",123.52,"3,394.90","2,207.80",-0.95,-23.29
38,KOTAKBANK,"1,891.00","1,918.50","1,873.05","1,894.85","1,883.40",-,-11.45,-0.6,"40,25,366",763.23,"1,942.00","1,543.85",7.84,6.66
39,HCLTECH,"1,800.00","1,829.40","1,791.10","1,807.00","1,796.00",-,-11.0,-0.61,"31,71,259",571.83,"2,012.20","1,235.00",-5.49,15.65
